# RK static dungeons - map label data
# zone|name|coords|level|mobs|note
# source: ao-universe.com static RK dungeons guide

Mort|Three buildings|1934x1257|110-150|Medusas, cyborgs, onagi, rhinomen, bileswarm, NPCs|next to grid
Mort|Ruins (Cyborg camp)|1350x589|~140|Hellhounds|
Mort|Another building|1351x562|?|?|BROKEN - playshifting failed
Mort|Mini crater|855x2278|~160|Borgs|
Mort|Mask of Tragedy|1339x2753|129-143|Drills, aquaans|NW crater
Mort|Cyborg crater|1538x1095|110-121|Snakes|south
Tir County|City north west|2061x1124|<5|Rollerrats|
Tir County|City south west|2008x947|<5|Mutants, animals|
Tir County|City south|2238x888|1|Leets|
Old Athen|Shop street|576x290|<5|NPCs, robots|
Old Athen|North|423x489|<5|Named NPCs|
Old Athen|South Hill|399x308|<5|NPCs, mutants|
Old Athen|Whompas|452x275|<5|Mutants|
Old Athen|South east|524x246|<5|NPCs, mutants|
Old Athen|East Hill|497x356|<5|NPCs, mutants|
Omni Trade|North west|230x527|<5|NPCs|
Omni Trade|South west|267x195|<5|NPCs|
Omni Trade|South east left|515x228|<5|Mutants, NPCs|
Omni Trade|South east right|551x238|<5|Mutants|
Omni Trade|South east top|551x271|<5|Mutants, NPCs|
Omni Trade|North east left|519x467|<5|NPCs|
Omni Trade|North east right|579x521|<5|NPCs|
Stret East Bank|North Mines|1125x2125|~60|Animals|
Stret East Bank|Central Mines|1140x1955|~70|Mutants, nanofreaks|
Stret East Bank|South Camp|1064x1080|~50|NPCs, scorpioids|
Omni Forest|Shacks|478x2160|<5|Shadowmutants|
Aegean|Delta|360x673|10-15|Animals|
Clondyke|West Mines|1882x3805|~50|Mutants|
Clondyke|South Mines|1954x3731|~50|Mutants, aquaans|
Clondyke|North east Mines|2014x3910|~50|Rhinomen, animals|
Clondyke|North west Mines|1994x3957|~50|Mutants|
Lush Fields|North Pipe|932x2837|1|Mutants|
Lush Fields|Spring|2020x1956|10-15|Rhinomen|
Lush Fields|Foggy Hill west|746x952|~10|Mutants|
Lush Fields|Foggy Hill east|1719x1005|10-15|Rhinomen, animals|
Lush Fields|South Coast|3568x1565|~10|Named NPCs, rollerrats|
Lush Fields|South Island|3439x2287|~10|Mutants|
Lush Fields|North Island|3506x2953|~10|Lost Pet Snakes, Minibrontos|
Pleasant Meadows|Treepine Hut north east|2601x2085|~100|Bileswarm, aquaan, medusa|
Pleasant Meadows|Treepine Hut north west|2173x2327|~30|Mutants|
Belial Forest|North-East shelter|3006x3036|~100|NPCs, onagi, droids|first door locked/trapped
Belial Forest|Wine Barracks|2250x2254|145|Soldiers|
Belial Forest|Center1 (PvP)|2208x2211|-|none|5% PvP room
Belial Forest|Center2 (PvP)|2233x2213|-|none|5% PvP room
Belial Forest|Falls (PvP)|2096x2273|-|none|5% PvP room
Belial Forest|Upper (PvP)|2233x2213|-|none|5% PvP room
Belial Forest|Lower (PvP)|2271x2167|-|none|5% PvP room
